"STATE_CODE","WELL_KID","OPERATOR_NAME","CURRENT_OPERATOR_NAME","LEASE_NAME","API","TOWNSHIP","TOWNSHIP_DIRECTION","RANGE","RANGE_DIRECTION","SECTION","LONGITUDE","LATITUDE","SPOT","BOXES","START_DEPTH","END_DEPTH","PHOTOS"
"Unknown","1031009926","KGS","unavailable","Shawnee Rock Quarry Bonner Springs ","","0","S","0","W","0","","","    ","26","","0","NO"
"Colorado","1006461851","CITIES SERVICE CO","unavailable","CS 16-C","","5","N","13","E","31","","","    ","2","5454","5472","NO"
"Colorado","1046072011","Rosewood Resources Inc.","unavailable","Soehner J 1-33","05-125-08639","2","S","42","W","33","","","   SW SE","54","1608","1728","NO"
"Colorado","1005828161","MULL DRILLING","unavailable","GREENWOOD 1","","10","S","47","W","35","","","   SE SE","3","5912","5938","NO"
"Colorado","1005828180","TIGER OIL","unavailable","LOWE 1","","11","S","46","W","1","","","  NE NE NE","2","5129","5151","NO"
"Colorado","1006463125","MURFIN DRILLING CO","unavailable","SIDE BOTTOM 2-29","","12","S","44","W","29","","","    ","7","4298","4343","NO"
"Colorado","1036878656","Murfin Drilling Company","unavailable","Pfeifer 1-32","","12","S","44","W","32","","","   NW SE","6","4261","4310","YES"
"Colorado","1006461386","MULL DRILLING","unavailable","BRAUCKMAN FARM 1","","12","S","53","W","1","","","   SE SW","8","6880","6962.4","NO"
"Colorado","1006461385","MULL DRILLING","unavailable","BRAUCKMAN FARM 3","","12","S","53","W","1","","","C   NW SE","4","6855","6885","NO"
"Colorado","1005832398","MULL DRLG.","unavailable","KLEPPER MULL 4","05-017-07377","13","S","44","W","32","","","   NW NE","28","5435.8","5570","YES"
"Colorado","1038330849","Mull Drilling Co., Inc.","unavailable","CHAMPLIN-ALDRICH 3","","13","S","44","W","33","","","   NW NE","50","5415","5493.5","YES"
"Colorado","1005828340","MULL DRILLING COMPANY INC","unavailable","VAUGHN 1","05-017-06566","13","S","47","W","20","","","   SE SE","8","5365","5418","NO"
"Colorado","1006463123","MURFIN DRILLING COMPANY","unavailable","S-S-M COLORADO STATE 1-16","05-073-06137","13","S","55","W","16","","","   SW SW","6","2825","7183","NO"
"Colorado","1005828524","MULL DRLG","unavailable","MC CORMICK 'B' 1","","14","S","49","W","10","","","C   NW NW","15","5429","5500","YES"
"Colorado","1006461111","MURFIN DRILLING CO","unavailable","CARR 1-16","","16","S","21","W","21","","","  NW SW SW","19","6074","6141","NO"
"Colorado","1006461883","GERMANY","unavailable","OWENS 1","","17","S","48","W","2","","","    ","3","5048","5075","NO"
"Colorado","1006461381","MULL DRILLING","unavailable","UPRC RUST 1","","17","S","50","W","31","","","    ","22","5342","5422","NO"
"Colorado","1044948124","Mull Drilling Company Inc.","unavailable","Tallman Enterprises 1-27","05-061-06872","18","S","45","W","27","",""," NW NW NE SE","29","4085","4148","YES"
"Colorado","1044193012","CHEVRON OIL","unavailable","EARL J MUIR 1","05-097-08400","18","S","45","W","35","","","    ","11","4754","4861","NO"
"Colorado","1044193013","GENERAL AMERICAN OIL","unavailable","FEDERAL 1-6","05-097-26000","18","S","52","W","6","","","    ","20","4816","6105","NO"
"Colorado","1006462329","RESOURCES EXPL","unavailable","FRAZEE - BOLYARD 1","5-097-20200","19","S","44","W","35","","","    ","2","4163","4180","NO"
"Colorado","1033974606","FREMONT PETROLEUM CO","unavailable","HARRISON 3","05-061-06011","19","S","45","W","9","","","    ","10","4726","4796","NO"
"Colorado","1006463101","PLAINS PETROLEUM","unavailable","STATE 1-1","","20","S","17","W","1","","","    ","6","3000","5113","NO"
"Colorado","1006462409","MICHIGAN-WISCONSIN","unavailable","BOLTON 2-7 ","","20","S","52","W","7","","","    ","4","5342","5351","NO"
"Colorado","1005828696","I T I O","unavailable","ARBES 1","","21","S","48","W","2","","","    ","1","4780","4795","NO"
"Colorado","1006462406","MICHIGAN-WISCONSIN","unavailable","L.W. BAILEY 1-35","","25","S","45","W","35","","","   NW NW","2","","0","NO"
"Colorado","1006463112","SOUTHWESTERN EXPL","unavailable","RUTHERFORD 1","","29","S","45","W","6","","","    ","22","5250","5829","NO"
"Colorado","1006463111","SOUTHWESTERN EXPL","unavailable","RUTHERFORD 1","","29","S","45","W","6","","","    ","3","5815","5829","NO"
"Colorado","1006461897","PAN AMERICAN PETROLEUM CORP","unavailable","R. RUTHERFORD (McBRIDE) 1-5","","31","S","44","W","5","","","    ","21","2554","5687","NO"
"Colorado","1006463113","MCBRIDE W C","unavailable","ROLLINS - RUTHERFORD 1-8","","31","S","44","W","8","","","    ","7","3270","3319","NO"
"Colorado","1006461304","TXO PRODUCTION CORP","unavailable","1A SLOAN ","","33","S","41","W","9","","","    ","17","3060","3103.5","NO"
"Colorado","1006463128","SKELLY OIL CO","unavailable","HANKINS 1","","33","S","44","W","34","","","    ","1","6015","6171","NO"
"Colorado","1005832979","J.M. Huber Corp.","unavailable","MORRIS 1","","34","S","41","W","33","","","  SE SE NW","1","","0","NO"
"Colorado","1024022238","LEWIS & CLARK","unavailable","SCHAEFFER STATE CORE 1 1-LKC","","","S","","W","","","","    ","10","4275","4445","NO"
"Colorado","1024021871","M&J","unavailable","PRICE AMOCO 23-2","","","S","","W","","","","    ","2","4722","4725","NO"
"Colorado","1024022198","HUSKY OIL","unavailable","BROOKS 6","","","S","","W","","","","    ","6","3384","3403","NO"
"Colorado","1037791492","TICORA","unavailable","BIMBA 13-21","05-125-09842","","S","","W","","","","    ","24","1305","1490","NO"
"Colorado","1024022621","MURFIN","unavailable","BLEDSOE 2-2","","","S","","","","","","    ","2","2023","2043","NO"
"Colorado","1024021620","MULL DRILLING","unavailable","MAUL 3","","","","","","","","","    ","22","5148","5208","NO"
"Colorado","1024022397","","unavailable","HOWARD TW 1-A","","","S","","","","","","    ","2","250","267.8","NO"
"Colorado","1024022293","TXO","unavailable","SLOAN 1","","","S","","","","","","    ","11","3107","3135.9","NO"
"Colorado","1024022287","MULL DRILLING","unavailable","LUCILLE WHITE TRUST A 2","","","S","","","","","","    ","15","5145","5185","NO"
"Colorado","1024022277","SAMPSON OIL","unavailable","HAMBLETON 1-6","","","S","","","","","","    ","4","5286","5315","NO"
"Colorado","1024021617","MULL DRILLING","unavailable","LUCILLE WHITE TRUST A 4","","","S","","","","","","    ","19","5140","5190","NO"
"Colorado","1024021825","MOBIL","unavailable","TANNER 1","","","","","","","","","    ","31","5465","5970","NO"
"Colorado","1024022254","MULL DRILLING","unavailable","HOWARD CORE 2 1-A","","","S","","","","","","    ","17","5256","5308","NO"
"Colorado","1024022229","LEWIS & CLARK","unavailable","LL. TRUST 2-16","","","S","","","","","","    ","19","5395","5443","NO"
"Colorado","1024022228","LEWIS & CLARK","unavailable","LL. TRUST 2-16","","","S","","","","","","    ","17","5394","5519","NO"
"Colorado","1024021619","MULL DRILLING","unavailable","MAUL 1","","","S","","","","","","    ","17","5141","5189.9","NO"
"Colorado","1024022255","MULL DRILLING","unavailable","HOWARD CORE 3 1-A","","","S","","","","","","    ","14","5300","5342","NO"
"Florida","1024022662","Oxy USA, Inc.","unavailable","REED C-8W ","","5","S","8","E","18","","","    ","2","412","3090","NO"
"Florida","1024022276","","unavailable","EK (EAST KEY) 4","","","S","","W","","","","    ","3","12","37.4","NO"
"Florida","1024022278","USGS","unavailable","KEY LARGO ","","","S","","W","","","","    ","3","10","30","NO"
"Florida","1024022281","USGS","unavailable","KEY LARGO 2","","","S","","W","","","","    ","2","9","23","NO"
"Florida","1024022282","","unavailable","KEY LARGO NORTH SIDE RH-5","","","S","","W","","","","    ","9","9","50","NO"
"Florida","1024022285","","unavailable","LARGO LODGE RH-7","","","S","","W","","","","    ","3","10","35","NO"
"Florida","1024022599","CONTINENTAL?","unavailable","COTTON KEY ","","","S","","W","","","","    ","3","10","45","NO"
"Florida","1024022600","CONTINENTAL?","unavailable","EAST KEY EKO","","","S","","W","","","","    ","5","7","50","NO"
"Florida","1024022601","CONTINENTAL?","unavailable","TWIN KEY TK","","","S","","W","","","","    ","2","10","48","NO"
"Florida","1024022602","CONTINENTAL?","unavailable","BLACK BETSY KEY BB","","","S","","W","","","","    ","4","10","40","NO"
"Florida","1024022603","CONTINENTAL?","unavailable","PARK KEY PK","","","S","","W","","","","    ","7","6","50","NO"
"Florida","1024022605","CONTINENTAL?","unavailable","FBRK ","","","S","","W","","","","    ","3","","0","NO"
